"","location_id","site_id","bio_sample","turbidity","chloride_mg","tp_ug","tn_mg","alkalinity","sulfate_mg","silt_rating","finesed_perc"
"150",515772,"071600000100","2017.089",1,53.5,7.54,0.18,21,3.7,3,7
"151",515763,"071602070004","2017.070",5.1,1,36.1,0.42,14,1.48,2,1
"152",501298,"071605000044","2003.025",1.3,3.2,12,0.15,15.7,4.49,2,7
"153",501298,"071605000044","2017.074",0.79,4.11,12.6,0.19,26,3.77,3,5
"154",501299,"071605000048","2003.031",NA,7.93,9,NA,17.1,NA,2,5
"155",515771,"071605010004","2017.087",0.6,2.28,9.97,0.05,28,6.45,4,10
"156",522682,"073100000007","2019.108",0.2,1,7,0.05,14,8.954,2,1
"157",501300,"073102000001","2008.095",0.2,1,2.5,0.05,2.8,6.18,1,5
"158",501302,"080000000024","2007.062",0.66,29.4,96.7,0.47,45,7.77,1,2
"159",501302,"080000000024","2014.037",1.71,35.4,15.1,0.59,50,6.74,3,1
"160",501302,"080000000024","2019.066",0.86,44.4,17,0.63,50,6.226,2,2
"161",501303,"080000000028","2006.073",1.02,29,13.1,0.38,44.1,6.87,3,0
"162",505031,"080000000200","2014.038",1.79,29.73,11.2,0.41,39,8.16,3,3
"163",505031,"080000000200","2019.093",0.73,43.9,19,0.38,45,7.825,1,0
"164",501309,"080000000253","2005.083",0.71,35.4,8.27,0.6,35.7,6.76,2,0
"165",501309,"080000000253","2007.063",1.2,24.7,18.2,0.38,32.4,5.86,2,1
"166",501309,"080000000253","2014.039",0.46,29.04,9.07,0.39,36,5.17,1,1
"167",501309,"080000000253","2019.092",1.14,41.6,39,0.22,42,5.437,2,0
"168",501313,"080500000001","2019.061",0.2,40.1,8,0.21,65.5,6.002,4,13
"169",501314,"080500000012","2008.058",0.66,16.7,8.86,0.19,54.7,6.66,0,10
"170",508521,"080700000002","2014.036",0.4,46,17.1,0.36,94,8.44,2,25
"171",508521,"080700000002","2019.062",0.27,70.4,19,0.48,97,8.188,3,17
"172",521438,"080900000003","2018.108",2.22,35.6,27.5,0.49,29,3.94,2,12
"173",509725,"080904000002","2014.040",1.27,1,9.5,0.05,10,4.11,1,5
"174",509725,"080904000002","2015.042",0.26,1,NA,0.05,12.2,4.28,1,8
"175",505033,"081200000005","2012.062",1.4,10.6,20.7,0.39,26,6.55,2,0
"176",522663,"081500000026","2019.068",0.54,18.7,6,0.2,69,5.377,3,14
"177",505034,"081500000049","2012.059",3.4,9.91,10.2,0.24,62.5,10.2,2,15
"178",506466,"081504000027","2013.108",NA,NA,NA,NA,NA,NA,2,5
"179",506467,"081504000031","2013.106",1.04,38.2,7.89,0.05,65,1.62,5,10
"180",506467,"081504000031","2019.060",0.58,29.8,5,0.16,58.5,1.543,4,7
"181",506468,"081504000032","2013.107",0.85,23.1,61.9,0.05,61,1.27,3,13
"182",509726,"082000000008","2014.041",9.1,27.81,16.2,0.18,47,2.16,1,0
"183",522679,"082300000006","2019.106",0.2,17.2,7,0.15,35.5,4.691,4,3
"184",522677,"082305000003","2019.103",0.2,2.41,10,0.27,46,4.813,1,0
"185",523032,"082902000003","2020.044",45.5,21.8,49.2,0.32,55.2,NA,5,11
"186",523033,"082902000005","2020.045",1.98,16.6,11.6,0.3,44.8,NA,5,7
"187",501317,"082903000004","2007.076",1.35,27.5,6.45,0.2,124,107,3,5
"188",501317,"082903000004","2019.094",0.4,9.27,10,0.12,140.5,94.09,3,3
"189",501318,"083000000003","2007.073",0.7,26.4,7.05,0.25,25.9,5,1,2
"190",501319,"083000000013","2007.065",0.51,21.6,7.61,0.22,20.7,4.68,2,1
"191",501320,"083003000001","2007.064",3.96,24.6,16.9,1.03,98,19.5,4,5
"192",522681,"083030000008","2019.107",0.2,1,12,0.19,23.5,4.705,2,0
"193",501321,"083100000001","2007.074",0.77,227,7.22,0.28,83.1,10.5,4,16
"194",501321,"083100000001","2014.042",0.25,212,10.4,0.32,88,8.76,3,15
"195",522675,"083100000003","2019.101",0.57,182,11,0.29,101.5,8.183,1,0
"196",501323,"083301000004","2007.075",0.2,24.9,2.5,0.24,54.5,9.83,2,0
"197",501323,"083301000004","2015.170",0.78,16.08,2.5,0.17,23,5.25,2,1
"198",501328,"083800000011","2007.066",1.54,6.09,5.33,0.24,24.2,5.04,0,4
"199",522672,"084000000004","2019.097",0.6,1,7,0.14,25,9.789,5,10
"200",509741,"084400000001","2014.099",0.21,6.99,6.1,0.37,27,3.63,1,6
"201",501330,"100000000031","2008.081",0.84,6.77,8.18,0.05,71.1,5.87,1,6
"202",501333,"100000000114","2014.044",0.38,12.2,6.95,0.19,88,8.1,3,18
"203",501333,"100000000114","2017.142",1,10.2,7.68,0.12,88,7.81,3,8
"204",515816,"102300000015","2017.141",1.8,1,7.71,0.05,74,7.1,3,8
"205",501334,"110000000034","2019.067",0.2,19.3,5,0.5,125,7.247,2,2
"206",501335,"110000000059","2008.021",0.25,11.5,6.72,0.17,112,7.5,2,14
"207",501342,"120000000148","2003.111",NA,NA,NA,NA,NA,NA,0,0
"208",501342,"120000000148","2007.077",0.57,26.7,15.8,0.19,59.9,7.26,3,6
"209",501342,"120000000148","2010.062",0.98,20.1,8.88,0.22,50.7,6.31,4,0
"210",501342,"120000000148","2012.060",1.9,19.8,30.6,0.39,52,8.42,3,8
"211",501342,"120000000148","2014.034",0.42,21.1,23.2,0.35,62.5,6.43,2,9
"212",501342,"120000000148","2015.116",0.53,33.52,162,0.53,74,8.11,3,5
"213",501342,"120000000148","2019.085",0.45,40.6,23,0.38,64.5,7.295,2,2
"214",506091,"120000000150","2010.061",0.45,20.7,8.1,0.21,55.5,6.32,3,2
"215",506091,"120000000150","2015.117",0.7,30.98,6.14,0.19,69,8.02,NA,0
"216",506091,"120000000150","2019.084",0.45,38.3,9,0.24,65,6.998,3,3
"217",522673,"120000000199","2019.098",0.2,31.7,10,0.24,47.5,6.095,2,8
"218",501345,"120000000275","2007.078",0.7,30.4,9.28,0.25,46.7,5.62,3,0
"219",501346,"120000000343","2010.043",1.33,44.1,117,0.45,42.8,5.94,3,16
"220",501346,"120000000343","2019.087",1.41,49.6,256,2.22,54,7.447,2,1
"221",501347,"120000000344","2010.044",1.04,39,8.18,0.28,42,4.99,3,14
"222",501347,"120000000344","2019.088",1.6,47.6,9,0.21,48.5,3.671,2,9
"223",509729,"120501000021","2014.045",0.58,2.19,10.5,0.25,71,8.54,4,15
"224",522670,"122100000025","2019.086",0.29,25.6,9,0.39,148,6.562,1,6
"225",509724,"122100000026","2014.035",0.2,19.9,6.35,0.25,138,6.92,3,18
"226",509731,"122106000004","2014.047",1.15,1,6.46,0.16,144,5.74,2,11
"227",509723,"122300000001","2014.026",0.32,17.2,8.12,0.36,140,7.7,3,11
"228",501349,"122300000006","2007.079",0.59,18,8.12,0.2,144,9.73,2,0
"229",501349,"122300000006","2014.025",0.5,14.2,8.42,0.33,138,7.79,2,1
"230",501350,"122300000052","2010.059",0.89,16,166,0.95,164,9.79,3,15
"231",501350,"122300000052","2014.024",0.47,13.3,12.5,0.37,133,7.31,2,1
"232",501350,"122300000052","2015.118",0.57,21.65,15.8,0.4,143,8.53,2,3
"233",501350,"122300000052","2019.082",0.39,24.4,18,0.46,145,8.264,1,4
"234",501351,"122300000053","2010.060",0.6,13.6,12.2,0.2,163,8.75,4,13
"235",501351,"122300000053","2015.119",0.74,21.99,8.22,0.3,141,8.17,3,11
"236",501351,"122300000053","2019.083",0.38,24.2,11,0.34,138.5,7.594,2,0
"237",505051,"123200000017","2012.040",4.8,5.13,8.51,0.32,111,8.81,1,1
"238",501352,"124100000012","2019.096",0.6,26.1,7,0.14,35,5.887,3,2
"239",509730,"124300000002","2014.046",0.77,2.9,6.18,0.17,27,6.59,1,4
"240",509730,"124300000002","2019.095",0,6.06,7,0.13,33,8.147,2,1
"241",523059,"124315000001","2020.146",0.2,1,8.2,0.05,33.3,5.56,3,0
"242",509727,"125604000003","2014.100",0.2,1,8.38,0.24,13,3.26,1,17
"243",515406,"126200000009","2016.031",0.2,74,9.36,0.46,56,7.18,3,2
"244",501360,"126200000014","2004.162",0.24,47.9,10,0.35,35.7,6.39,2,2
"245",501361,"126200000030","2007.090",0.2,54.2,6.79,0.45,38.9,6.24,3,13
"246",501361,"126200000030","2014.029",0.23,38.96,5.11,0.46,38,5.1,2,1
"247",501361,"126200000030","2019.089",0.5,84.6,7,0.48,58,5.792,3,0
"248",501362,"126200000040","2004.163",0.4,34.6,4,0.45,22.5,6.09,4,18
"249",501362,"126200000040","2014.031",0.33,32.1,5.25,0.47,31,4.86,3,10
"250",501363,"126203000003","2004.161",1.97,35.6,10,0.23,42.2,4.94,3,15
"251",501363,"126203000003","2007.089",0.29,55.9,6.14,0.42,72.5,5.41,4,13
"252",501363,"126203000003","2014.028",0.83,44,8.23,0.46,64,4.04,4,27
"253",501368,"126204000002","2007.091",0.2,1,2.5,0.31,28.5,5.93,2,1
"254",501368,"126204000002","2014.030",0.2,1,9.03,0.38,23,4.55,2,1
"255",501372,"126600000004","2003.085",2.2,37.9,14,0.33,29,3.75,1,9
"256",523070,"130000000025","2020.160",0.6,19.4,8.6,0.13,77.4,8.27,2,0
"257",501377,"130000000154","2006.044",0.4,11.1,9.03,0.34,63.2,7.26,1,4
"258",501377,"130000000154","2014.010",0.71,11.7,7.87,0.33,67,6.46,1,0
"259",501377,"130000000154","2020.155",0.5,19.9,9.4,0.14,77.8,8.73,3,3
"260",501378,"130000000218","2006.045",0.62,9.94,10.8,0.3,36.6,6.09,1,1
"261",501378,"130000000218","2007.136",0.6,9.6,8.65,0.19,38.4,6.56,3,0
"262",501378,"130000000218","2008.101",0.33,9.38,7.59,0.18,37.6,5.93,3,1
"263",501378,"130000000218","2014.011",0.68,10.4,7.84,0.29,43,6.26,1,2
"264",506421,"130000000241","2018.058",NA,12.4,12.3,0.22,40,5.51,1,5
"265",501379,"130000000269","2007.137",0.35,5.46,2.5,0.16,22.2,5.48,3,0
"266",501380,"130000000294","2007.138",0.41,5.35,5.1,0.18,20.8,5.43,3,1
"267",501380,"130000000294","2008.100",0.41,4.43,2.5,0.12,21.6,5.05,1,0
"268",501382,"130000000324","2007.139",0.2,5.15,2.5,0.2,20.6,5.47,0,11
"269",501382,"130000000324","2008.099",0.58,4.38,2.5,0.13,20.2,5.03,2,13
"270",501382,"130000000324","2009.028",0.39,4.92,2.5,0.26,23.3,4.83,0,0
"271",501382,"130000000324","2010.129",1.27,2.57,7.18,0.19,16,4.65,1,5
"272",501382,"130000000324","2012.042",0.31,14.56,NA,0.27,30,5.93,2,0
"273",501382,"130000000324","2013.049",0.21,4.24,2.5,0.25,23,4.73,1,17
"274",501382,"130000000324","2014.021",0.64,6.42,5.3,0.29,25,4.93,2,7
"275",501382,"130000000324","2015.032",0.87,10.63,5.9,0.31,27,5.85,1,8
"276",501382,"130000000324","2016.010",0.9,9.5,6.71,0.27,30,6.73,1,0
"277",501382,"130000000324","2017.125",0.8,10.9,5.81,0.24,31,5.76,1,2
"278",501382,"130000000324","2018.044",NA,5.78,7.8,0.25,20,3.9,1,1
"279",501382,"130000000324","2019.090",0,13.7,8,0.31,31.5,5.603,3,2
"280",501382,"130000000324","2020.125",0.2,16.1,2.5,0.26,34.7,5.97,1,3
"281",501383,"130000000437","2006.050",0.23,6.09,2.5,0.3,21.6,5.41,1,0
"282",501383,"130000000437","2014.016",0.42,6.78,6.19,0.31,23,5.09,3,3
"283",501386,"130000000552","2020.129",0.2,1,2.5,0.15,5.2,4.18,1,0
"284",501387,"130800000001","2006.043",0.36,14,8.82,0.26,61.9,9.96,3,9
"285",501387,"130800000001","2020.138",0,27.3,10.5,0.52,87.8,10.4,4,13
"286",521574,"131200000006","2018.112",0.43,21.5,11.5,0.18,36,4.67,4,7
"287",500946,"131200000009","2014.027",0.2,3.87,7.49,0.17,26.5,5.31,3,17
"288",523064,"131500000009","2020.156",0.1,30.4,8.3,0.12,125,9.11,1,14
"289",501389,"132500000157","2006.052",0.51,10.2,21.2,0.12,148,8.61,2,6
"290",501391,"132500000171","2006.017",0.27,9.03,18.1,0.18,146,7.99,2,2
"291",501391,"132500000171","2010.008",0.2,6.78,18.7,0.16,163,8.08,1,19
"292",501391,"132500000171","2014.009",0.54,15.4,23.2,0.3,152,8.17,1,3
"293",501391,"132500000171","2020.135",0,20.6,59.6,0.6,149,8.64,3,3
"294",508475,"132503000003","2014.007",0.27,1,6.34,0.16,147,9.87,2,11
"295",508476,"132509000008","2014.008",0.25,1,2.5,0.05,145,11.45,1,7
"296",501395,"132513000007","2006.020",0.25,5.31,10.9,0.32,158,12.3,2,6
"297",501395,"132513000007","2020.136",0.1,19.5,6.8,0.18,175,44.9,4,5
"298",501397,"132514000026","2006.060",0.26,1,2.5,0.17,119,7.01,2,13
"299",521435,"132520000038","2018.059",NA,1,5.34,0.13,123,6.56,1,10
"300",501398,"132528000008","2010.009",0.2,1,7.36,0.22,105,5.16,0,21
"301",508477,"132600000004","2014.020",1.2,2.85,15,0.43,155,12.92,4,38
"302",501399,"132900000001","2006.018",1.06,18.1,12.9,0.56,132,10.8,2,11
"303",523058,"132900000002","2020.139",0,28.7,11,0.18,151,14.1,3,11
"304",523057,"132900000174","2020.137",0.6,16.3,9.9,0.51,151,11.9,3,6
"305",509638,"132900000185","2014.002",2.05,13.9,13.1,0.58,143,9.61,4,14
"306",501402,"132903000005","2006.019",0.2,29.1,14.2,0.68,153,12.1,2,4
"307",522683,"132907000031","2019.109",2.4,133,18,0.79,207,8.045,5,15
"308",520361,"132909000024","2020.077",0.6,43.2,9.4,0.82,123,17,4,8
"309",501403,"132910000016","2006.065",0.2,14.4,12.7,0.8,129,9.34,3,5
"310",501406,"133300000085","2014.006",1.29,17.7,65.1,0.88,68,8.26,2,2
"311",501408,"133300000095","2006.048",0.22,12.4,71.7,0.69,27,6.2,2,2
"312",501408,"133300000095","2010.041",1.24,14.2,152,1.41,31.2,6.94,3,1
"313",501408,"133300000095","2014.005",1.02,13.5,99.1,1.03,35,6.31,3,3
"314",501408,"133300000095","2015.005",0.32,16.28,73.9,0.81,38,6.76,3,7
"315",501408,"133300000095","2019.028",0.29,20.6,354,0.8,46,8.72,3,3
"316",501409,"133300000097","2010.042",2.47,10.5,7.62,0.35,29.6,5.6,3,9
"317",501409,"133300000097","2014.004",1.92,11.3,6.4,0.41,34.5,5.88,3,3
"318",501409,"133300000097","2015.006",0.28,13.27,6.73,0.42,35,6.03,2,17
"319",501409,"133300000097","2019.029",0.21,19.1,6,0.55,37,6,2,2
"320",501414,"133300000137","2004.115",0.2,4.6,4,0.2,15.8,3.98,3,2
"321",501417,"133300000215","2009.024",0.41,2.33,13.5,0.26,24.9,3.56,2,2
"322",501417,"133300000215","2010.087",0.2,2.81,10.8,0.16,27.1,3.66,2,2
"323",501417,"133300000215","2019.147",1.8,5.98,5,0.05,27.5,3.472,3,0
"324",501417,"133300000215","2020.098",6.5,14.3,24.1,0.32,39.5,4.96,2,4
"325",501418,"133300000222","2009.023",0.31,2.08,5.66,0.19,22.2,3.07,1,5
"326",501418,"133300000222","2010.088",0.22,1,5.81,0.1,23.3,3.34,2,2
